status,id,name,family,description,seed,data_kind,cv_policy,dataset_yaml,requested_epochs,actual_epochs,train_minutes,best_pt,save_dir,per_class_csv,unknown_filtered_aug_args,hp_mode,hp_source,hp_params,precision,recall,f1,mAP50,mAP75,mAP50_95,inference_ms_per_image,mAP50_95_delta_vs_B01
OK,Y10,yolo_cutmix,yolo_single,다른 이미지의 직사각형 영역을 붙여 occlusion 생성,42,processed,,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\summary\runtime_processed.yaml,10,10,32.71685100333416,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\Y10_yolo_cutmix_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\Y10_yolo_cutmix_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\per_class\Y10_yolo_cutmix_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.004928743342321972, ""lrf"": 0.35384036699409716, ""momentum"": 0.9485420920943789, ""weight_decay"": 1.4642481193608707e-05, ""warmup_epochs"": 3.5391917958627177, ""cos_lr"": true}",0.8302811647944289,0.7649653484522085,0.7962861103487382,0.8344545945290052,0.8282979911997583,0.8070457782284276,1.6135828258420617,-0.007715514374785459
OK,Y14,yolo_mosaic_mixup_cutmix,yolo_combo,세 가지 multi-image augmentation 조합,42,processed,,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\summary\runtime_processed.yaml,10,10,32.54022850666661,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\Y14_yolo_mosaic_mixup_cutmix_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\Y14_yolo_mosaic_mixup_cutmix_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\per_class\Y14_yolo_mosaic_mixup_cutmix_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.004928743342321972, ""lrf"": 0.35384036699409716, ""momentum"": 0.9485420920943789, ""weight_decay"": 1.4642481193608707e-05, ""warmup_epochs"": 3.5391917958627177, ""cos_lr"": true}",0.8302811647944289,0.7649653484522085,0.7962861103487382,0.8344545945290052,0.8282979911997583,0.8070457782284276,1.4061543838796322,-0.007715514374785459
OK,Y08,yolo_mosaic,yolo_single,여러 이미지를 한 학습 장면에 구성,42,processed,,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\summary\runtime_processed.yaml,10,10,32.65174220833384,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\Y08_yolo_mosaic_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\Y08_yolo_mosaic_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\per_class\Y08_yolo_mosaic_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.004928743342321972, ""lrf"": 0.35384036699409716, ""momentum"": 0.9485420920943789, ""weight_decay"": 1.4642481193608707e-05, ""warmup_epochs"": 3.5391917958627177, ""cos_lr"": true}",0.8302811647944289,0.7649653484522085,0.7962861103487382,0.8344545945290052,0.8282979911997583,0.8070457782284276,1.5437415267466934,-0.007715514374785459
OK,C08,opencv_jpeg_compression,opencv_single,OpenCV static augmentation: jpeg_compression,42,opencv,jpeg_compression,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\opencv_datasets\jpeg_compression\seed_42\data.yaml,10,10,33.32681318333392,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\C08_opencv_jpeg_compression_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\C08_opencv_jpeg_compression_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\per_class\C08_opencv_jpeg_compression_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.004928743342321972, ""lrf"": 0.35384036699409716, ""momentum"": 0.9485420920943789, ""weight_decay"": 1.4642481193608707e-05, ""warmup_epochs"": 3.5391917958627177, ""cos_lr"": true}",0.8021887371410223,0.7616363915847388,0.781386772603972,0.8345619817579779,0.8273977947533334,0.8053167466117723,1.8031591091629564,-0.009444545991440734
OK,C05,opencv_gaussian_blur,opencv_single,OpenCV static augmentation: gaussian_blur,42,opencv,gaussian_blur,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\opencv_datasets\gaussian_blur\seed_42\data.yaml,10,10,33.30030319333309,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\C05_opencv_gaussian_blur_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\C05_opencv_gaussian_blur_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\per_class\C05_opencv_gaussian_blur_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.004928743342321972, ""lrf"": 0.35384036699409716, ""momentum"": 0.9485420920943789, ""weight_decay"": 1.4642481193608707e-05, ""warmup_epochs"": 3.5391917958627177, ""cos_lr"": true}",0.7889349023453862,0.7978747268921226,0.7933796318679524,0.8310762384627048,0.8255158001370839,0.8030285698136094,1.8738398003084724,-0.011732722789603689
OK,C12,opencv_photometric_combo,opencv_combo,OpenCV static augmentation: photometric_combo,42,opencv,photometric_combo,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\opencv_datasets\photometric_combo\seed_42\data.yaml,10,10,33.43024088166615,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\C12_opencv_photometric_combo_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\C12_opencv_photometric_combo_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\per_class\C12_opencv_photometric_combo_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.004928743342321972, ""lrf"": 0.35384036699409716, ""momentum"": 0.9485420920943789, ""weight_decay"": 1.4642481193608707e-05, ""warmup_epochs"": 3.5391917958627177, ""cos_lr"": true}",0.8102818635873432,0.7668005432116539,0.7879417974288713,0.8302801004054289,0.825160835639898,0.8012710566132145,1.680849977268176,-0.013490235989998545
OK,C07,opencv_gaussian_noise,opencv_single,OpenCV static augmentation: gaussian_noise,42,opencv,gaussian_noise,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\opencv_datasets\gaussian_noise\seed_42\data.yaml,10,10,33.30513124166658,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\C07_opencv_gaussian_noise_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\C07_opencv_gaussian_noise_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\per_class\C07_opencv_gaussian_noise_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.004928743342321972, ""lrf"": 0.35384036699409716, ""momentum"": 0.9485420920943789, ""weight_decay"": 1.4642481193608707e-05, ""warmup_epochs"": 3.5391917958627177, ""cos_lr"": true}",0.7779047087396712,0.7840134966903224,0.7809471567340561,0.8248300148493918,0.8166327359989418,0.7949999588483723,1.7499595185295798,-0.019761333754840793
OK,C03,opencv_gamma,opencv_single,OpenCV static augmentation: gamma,42,opencv,gamma,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\opencv_datasets\gamma\seed_42\data.yaml,10,10,33.55564280333347,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\C03_opencv_gamma_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\C03_opencv_gamma_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\per_class\C03_opencv_gamma_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.004928743342321972, ""lrf"": 0.35384036699409716, ""momentum"": 0.9485420920943789, ""weight_decay"": 1.4642481193608707e-05, ""warmup_epochs"": 3.5391917958627177, ""cos_lr"": true}",0.7970072659135158,0.7482073211193262,0.7718367097308741,0.8220552265490474,0.8162808555573,0.7932932608999476,1.952378827743596,-0.0214680317032655
OK,B02,yolo_default_aug_tuned,baseline,YOLO 기본 augmentation + Optuna tuned 하이퍼파라미터,42,processed,,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\summary\runtime_processed.yaml,10,10,32.86344650500008,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\B02_yolo_default_aug_tuned_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\B02_yolo_default_aug_tuned_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\per_class\B02_yolo_default_aug_tuned_seed42.csv,,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.004928743342321972, ""lrf"": 0.35384036699409716, ""momentum"": 0.9485420920943789, ""weight_decay"": 1.4642481193608707e-05, ""warmup_epochs"": 3.5391917958627177, ""cos_lr"": true}",0.8288776783195635,0.7399259022040017,0.781879990027405,0.822754423803821,0.8157437976319769,0.792173900938511,1.6510447069573284,-0.022587391664702028
OK,Y01,yolo_hsv,yolo_single,HSV 색조/채도/밝기 변화,42,processed,,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\summary\runtime_processed.yaml,10,10,33.14591253500014,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\Y01_yolo_hsv_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\Y01_yolo_hsv_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\per_class\Y01_yolo_hsv_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.004928743342321972, ""lrf"": 0.35384036699409716, ""momentum"": 0.9485420920943789, ""weight_decay"": 1.4642481193608707e-05, ""warmup_epochs"": 3.5391917958627177, ""cos_lr"": true}",0.7622443986811561,0.7919657670809411,0.7768209000340258,0.8215254386886364,0.816139797116558,0.7907162810137583,1.5607776918260423,-0.024045011589454712
