status,id,name,family,description,seed,data_kind,cv_policy,dataset_yaml,requested_epochs,actual_epochs,train_minutes,best_pt,save_dir,per_class_csv,unknown_filtered_aug_args,hp_mode,hp_source,hp_params,precision,recall,f1,mAP50,mAP75,mAP50_95,inference_ms_per_image
OK,Y08,yolo_mosaic,yolo_single,여러 이미지를 한 학습 장면에 구성,42,processed,,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\summary\runtime_processed.yaml,10,10,32.65174220833384,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\Y08_yolo_mosaic_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\Y08_yolo_mosaic_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\per_class\Y08_yolo_mosaic_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.004928743342321972, ""lrf"": 0.35384036699409716, ""momentum"": 0.9485420920943789, ""weight_decay"": 1.4642481193608707e-05, ""warmup_epochs"": 3.5391917958627177, ""cos_lr"": true}",0.8302811647944289,0.7649653484522085,0.7962861103487382,0.8344545945290052,0.8282979911997583,0.8070457782284276,1.5437415267466934
OK,Y09,yolo_mixup,yolo_single,두 이미지와 label을 blending,42,processed,,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\summary\runtime_processed.yaml,10,10,32.66459641666636,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\Y09_yolo_mixup_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\Y09_yolo_mixup_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\per_class\Y09_yolo_mixup_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.004928743342321972, ""lrf"": 0.35384036699409716, ""momentum"": 0.9485420920943789, ""weight_decay"": 1.4642481193608707e-05, ""warmup_epochs"": 3.5391917958627177, ""cos_lr"": true}",0.8302811647944289,0.7649653484522085,0.7962861103487382,0.8344545945290052,0.8282979911997583,0.8070457782284276,1.592607723846473
OK,Y10,yolo_cutmix,yolo_single,다른 이미지의 직사각형 영역을 붙여 occlusion 생성,42,processed,,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\summary\runtime_processed.yaml,10,10,32.71685100333416,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\Y10_yolo_cutmix_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\Y10_yolo_cutmix_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\per_class\Y10_yolo_cutmix_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.004928743342321972, ""lrf"": 0.35384036699409716, ""momentum"": 0.9485420920943789, ""weight_decay"": 1.4642481193608707e-05, ""warmup_epochs"": 3.5391917958627177, ""cos_lr"": true}",0.8302811647944289,0.7649653484522085,0.7962861103487382,0.8344545945290052,0.8282979911997583,0.8070457782284276,1.6135828258420617
OK,Y11,yolo_hsv_flip,yolo_combo,HSV + 좌우 반전,42,processed,,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\summary\runtime_processed.yaml,10,10,32.489291949999945,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\Y11_yolo_hsv_flip_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\Y11_yolo_hsv_flip_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\per_class\Y11_yolo_hsv_flip_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.004928743342321972, ""lrf"": 0.35384036699409716, ""momentum"": 0.9485420920943789, ""weight_decay"": 1.4642481193608707e-05, ""warmup_epochs"": 3.5391917958627177, ""cos_lr"": true}",0.7808796359806998,0.7911406521037619,0.7859766557810818,0.8350367027913062,0.8271128054438922,0.8072209734192681,1.6135059518490775
OK,Y12,yolo_geometry_combo,yolo_combo,회전/이동/scale/shear/perspective/flip 조합,42,processed,,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\summary\runtime_processed.yaml,10,10,32.5623548683332,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\Y12_yolo_geometry_combo_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\Y12_yolo_geometry_combo_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\per_class\Y12_yolo_geometry_combo_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.004928743342321972, ""lrf"": 0.35384036699409716, ""momentum"": 0.9485420920943789, ""weight_decay"": 1.4642481193608707e-05, ""warmup_epochs"": 3.5391917958627177, ""cos_lr"": true}",0.7850777717214409,0.8015936620189855,0.7932497587359328,0.8412989156716306,0.8349164692905124,0.7649871547267079,1.404918309714542
OK,Y13,yolo_mosaic_hsv_geo,yolo_combo,Mosaic + HSV + 약한 geometry,42,processed,,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\summary\runtime_processed.yaml,10,10,32.57749712499984,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\Y13_yolo_mosaic_hsv_geo_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\Y13_yolo_mosaic_hsv_geo_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\per_class\Y13_yolo_mosaic_hsv_geo_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.004928743342321972, ""lrf"": 0.35384036699409716, ""momentum"": 0.9485420920943789, ""weight_decay"": 1.4642481193608707e-05, ""warmup_epochs"": 3.5391917958627177, ""cos_lr"": true}",0.786416705823744,0.7695682274857222,0.7779012475123654,0.8365478049492976,0.8284634270984693,0.7883960606841185,1.3977532941301771
OK,Y14,yolo_mosaic_mixup_cutmix,yolo_combo,세 가지 multi-image augmentation 조합,42,processed,,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\summary\runtime_processed.yaml,10,10,32.54022850666661,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\Y14_yolo_mosaic_mixup_cutmix_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\Y14_yolo_mosaic_mixup_cutmix_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\per_class\Y14_yolo_mosaic_mixup_cutmix_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.004928743342321972, ""lrf"": 0.35384036699409716, ""momentum"": 0.9485420920943789, ""weight_decay"": 1.4642481193608707e-05, ""warmup_epochs"": 3.5391917958627177, ""cos_lr"": true}",0.8302811647944289,0.7649653484522085,0.7962861103487382,0.8344545945290052,0.8282979911997583,0.8070457782284276,1.4061543838796322
OK,Y15,yolo_balanced_combo,yolo_combo,색/기하/multi-image를 모두 약하게 섞은 조합,42,processed,,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\summary\runtime_processed.yaml,10,10,32.79509341499943,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\Y15_yolo_balanced_combo_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\Y15_yolo_balanced_combo_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\per_class\Y15_yolo_balanced_combo_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.004928743342321972, ""lrf"": 0.35384036699409716, ""momentum"": 0.9485420920943789, ""weight_decay"": 1.4642481193608707e-05, ""warmup_epochs"": 3.5391917958627177, ""cos_lr"": true}",0.7831617251528106,0.793237361527025,0.7881673438641621,0.8308182688626919,0.8233526054486623,0.7741693922536439,1.8800509314100151
OK,C01,opencv_reencode_control,opencv_single,OpenCV static augmentation: reencode_control,42,opencv,reencode_control,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\opencv_datasets\reencode_control\seed_42\data.yaml,10,10,33.51067187833348,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\C01_opencv_reencode_control_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\C01_opencv_reencode_control_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\per_class\C01_opencv_reencode_control_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.004928743342321972, ""lrf"": 0.35384036699409716, ""momentum"": 0.9485420920943789, ""weight_decay"": 1.4642481193608707e-05, ""warmup_epochs"": 3.5391917958627177, ""cos_lr"": true}",0.8378598607151879,0.7657457551932256,0.800181323169032,0.8439181586138643,0.8371141625202646,0.8149111802980274,1.9405900954739823
OK,C02,opencv_brightness_contrast,opencv_single,OpenCV static augmentation: brightness_contrast,42,opencv,brightness_contrast,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\opencv_datasets\brightness_contrast\seed_42\data.yaml,10,10,33.45683540499983,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\C02_opencv_brightness_contrast_seed42_e10\weights\best.pt,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\runs\C02_opencv_brightness_contrast_seed42_e10,C:\AIchallengers\recycling_ssg_project\recycling_ssg\ai\models\yolo\02_experiment_augmentation\report\per_class\C02_opencv_brightness_contrast_seed42.csv,augmentations,tuned,optuna_tuned,"{""optimizer"": ""SGD"", ""lr0"": 0.004928743342321972, ""lrf"": 0.35384036699409716, ""momentum"": 0.9485420920943789, ""weight_decay"": 1.4642481193608707e-05, ""warmup_epochs"": 3.5391917958627177, ""cos_lr"": true}",0.7282669835875195,0.8155124801167073,0.7694244261385756,0.815912956473434,0.8110625239525748,0.7858136717105034,1.7806860063032928
