class_id,class_name,baseline_mAP50_95,best_mAP50_95,delta
0,고철류/고철,0.8566564896700829,0.8519126442791312,-0.00474384539095174
1,고철류/비철금속,0.1782314929161537,0.2890801237817101,0.11084863086555641
2,나무/나무,0.9240602880688396,0.9380474920236144,0.013987203954774818
3,도기류/도기,0.9225024646358662,0.8878909382328894,-0.03461152640297671
4,비닐/비닐,0.8713839216877561,0.8922931418086926,0.020909220120936434
5,스티로폼/스티로폼,0.9590581138868371,0.9368357344189586,-0.022222379467878528
6,유리병/유리병,0.9216661307537836,0.8986969732857762,-0.022969157468007317
7,의류/의류,0.9366161019577736,0.9290367449501472,-0.007579357007626353
8,종이류/책,0.9637600727007308,0.9658903189515652,0.0021302462508343556
9,종이류/박스류,0.9060025366583596,0.8606061727282073,-0.04539636393015234
10,종이류/신문지,0.5772582547169809,0.7975975274725273,0.22033927275554643
11,종이류/종이,0.5826425481476181,0.5993568440975615,0.016714295949943447
12,캔류/캔,0.9027775826874208,0.8807113791409348,-0.02206620354648603
13,페트병/페트병,0.7049670557166811,0.7120311902678587,0.007064134551177603
14,플라스틱류/플라스틱,0.8059792034073618,0.7364771816900134,-0.06950202171734843
15,플라스틱류/장난감,0.8797030732522504,0.955697619047619,0.07599454579536857
16,형광등/형광등,0.9576766433901256,0.946501812750918,-0.011174830639207545
