epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,333.368,0.30886,8.92791,0.00677,0.01254,0.56593,0.02823,0.02739,0.29363,6.28124,0.00719,0.0013911,0.0013911,0.073167
2,664.729,0.32658,6.07131,0.00717,0.1819,0.19496,0.12181,0.11746,0.31772,4.69492,0.00781,0.002764,0.002764,0.0462861
3,995.679,0.34822,4.53708,0.0077,0.25393,0.32716,0.23563,0.22538,0.34536,3.70006,0.00852,0.00405956,0.00405956,0.0193279
4,1326.58,0.36883,3.5383,0.00813,0.33807,0.40045,0.32246,0.30832,0.34358,3.04535,0.00851,0.00462326,0.00462326,0.0046529
5,1657.19,0.34923,2.77997,0.00765,0.35701,0.426,0.35609,0.33797,0.36063,2.47957,0.00882,0.00440187,0.00440187,0.00440187
6,1987.78,0.33219,2.17133,0.00725,0.36079,0.44087,0.38422,0.36628,0.33066,2.20395,0.00808,0.00413255,0.00413255,0.00413255
7,2317.82,0.30881,1.70063,0.00672,0.43189,0.45174,0.41503,0.39653,0.31488,1.89282,0.00767,0.00382844,0.00382844,0.00382844
8,2648.12,0.28904,1.34451,0.00629,0.41034,0.4968,0.44459,0.42793,0.30372,1.84099,0.0074,0.00350281,0.00350281,0.00350281
9,2977.59,0.2723,1.11716,0.0059,0.45685,0.50431,0.4832,0.4655,0.29253,1.68213,0.00715,0.00316992,0.00316992,0.00316992
10,3302.94,0.25723,0.90776,0.00557,0.4884,0.51635,0.49468,0.47679,0.29122,1.72254,0.0071,0.00284429,0.00284429,0.00284429
11,3626.88,0.24221,0.71614,0.00523,0.50942,0.48013,0.49449,0.47856,0.28742,1.7336,0.00704,0.00254018,0.00254018,0.00254018
12,3953.12,0.23359,0.53415,0.00504,0.52149,0.50965,0.50626,0.4876,0.29116,1.76445,0.00713,0.00227086,0.00227086,0.00227086
13,4280.82,0.21857,0.40757,0.0047,0.5292,0.53809,0.52508,0.50789,0.28722,1.78666,0.00703,0.00204811,0.00204811,0.00204811
14,4609.16,0.21223,0.30438,0.00457,0.55467,0.53283,0.52752,0.50946,0.28482,1.88182,0.00693,0.00188166,0.00188166,0.00188166
15,4939.02,0.20631,0.24806,0.00443,0.54258,0.53665,0.52987,0.5119,0.28011,1.92742,0.00681,0.00177879,0.00177879,0.00177879
