trial,state,mAP50_95,param_optimizer,param_lr0_adamw,param_lrf,param_momentum,param_weight_decay,param_warmup_epochs,param_cos_lr,f1,inference_ms_per_image,lr0,mAP50,mAP75,precision,recall,train_minutes,param_lr0_sgd
1,COMPLETE,0.8379111371514971,SGD,,0.46951,0.91358,6e-05,4.48054,True,0.8243760313578067,1.3674936846956152,0.00754,0.8648493131218205,0.861138962350081,0.8101988834600782,0.8390581692916981,62.802379286666714,0.00754
2,COMPLETE,0.8315765626091532,SGD,,0.15751320499779725,0.8280833552796386,2.9375384576328313e-06,0.2904180608409973,False,0.8155219943197098,1.4576446160553556,0.008960785365368127,0.8637532722025801,0.8534921652836912,0.8311933170018203,0.800430670714426,62.63577433666663,0.008960785365368127
7,COMPLETE,0.8290796454072543,AdamW,0.000586412916969653,0.12399967836846093,0.8332738019945949,0.0008105016126411582,3.8756641168055728,False,0.8007324691537808,1.3501355293582562,0.000586412916969653,0.8581060714119108,0.8530996404349621,0.7888599217616296,0.8129678471046482,63.02299606333339,
4,PRUNED,0.7995564880951095,AdamW,0.0008012737503998541,0.01901024531987036,0.8525860367363393,1.2562773503807034e-05,2.28034992108518,False,,,0.0008012737503998541,,,,,,
0,COMPLETE,0.7908323362354515,AdamW,0.00125,0.01,0.9,0.0005,3.0,False,0.789668388257418,1.5298611085837406,0.00125,0.8258596869222663,0.8156165723141188,0.8009889324790995,0.778663375800786,66.02089800499998,
9,PRUNED,0.7765928358488666,AdamW,0.000633326877532184,0.019135880487692304,0.9443954565357271,1.6736010167825795e-06,4.9344346830025865,False,,,0.000633326877532184,,,,,,
11,PRUNED,0.7443087860730377,SGD,,0.580665837587527,0.9072805978479368,6.5672207490856835e-06,2.338522020651596,True,,,0.009307352594320835,,,,,,0.009307352594320835
6,PRUNED,0.7310039517379006,AdamW,0.0010249322216924156,0.07591104805282695,0.8219668822720603,3.058656666978529e-05,0.17194260557609198,False,,,0.0010249322216924156,,,,,,
3,COMPLETE,0.7214263736987803,AdamW,0.002708160864249967,0.46225890010208287,0.8382210399220897,3.5113563139704077e-06,0.9170225492671691,True,0.6914662928755767,1.4753263970883117,0.002708160864249967,0.7603457557692491,0.7494163729574245,0.7066185490086072,0.6769502244749549,62.792572674999974,
8,PRUNED,0.6816037079110542,SGD,,0.024658447214487383,0.8081409120038969,9.462175356461487e-06,1.9433864484474102,True,,,0.0013035611225128876,,,,,,0.0013035611225128876
5,PRUNED,0.6708383270122295,SGD,,0.16409286730647918,0.8306943422637125,1.5673095467235414e-06,4.7444276862666666,False,,,0.001149299930022141,,,,,,0.001149299930022141
10,PRUNED,0.6598609984195475,SGD,,0.3117916870920678,0.956859128899363,4.768531160041764e-05,4.876550434745951,True,,,0.014976094022752774,,,,,,0.014976094022752774
