parameter,importance
momentum,0.24029172482610267
warmup_epochs,0.2376492478752765
weight_decay,0.21996124223126162
lrf,0.19033732297602715
lr0_sgd,0.10601744670164155
cos_lr,0.0028715076948452357
optimizer,0.0028715076948452357
lr0_adamw,0.0
