class_id,class_name,mAP50_95
0,고철류/고철,0.7592606381024356
1,고철류/비철금속,0.24716778835916905
2,나무/나무,0.844184150017497
3,도기류/도기,0.8243607667912259
4,비닐/비닐,0.795113376403881
5,스티로폼/스티로폼,0.8503382267783213
6,유리병/유리병,0.8384331701893892
7,의류/의류,0.8177107355677112
8,종이류/책,0.9022753064609482
9,종이류/박스류,0.813854646400563
10,종이류/신문지,0.3946093983450178
11,종이류/종이,0.5038675352547984
12,캔류/캔,0.82226988868554
13,페트병/페트병,0.6278601699141458
14,플라스틱류/플라스틱,0.7139899953291745
15,플라스틱류/장난감,0.8561866194151884
16,형광등/형광등,0.8702036126403918
