class_id,class_name,mAP50_95
0,고철류/고철,0.7627870479580324
1,고철류/비철금속,0.17856720094921677
2,나무/나무,0.8414185184075809
3,도기류/도기,0.8580378478595945
4,비닐/비닐,0.8357560562649121
5,스티로폼/스티로폼,0.9036571013220707
6,유리병/유리병,0.8521310593735743
7,의류/의류,0.8678683488542764
8,종이류/책,0.8474828059708397
9,종이류/박스류,0.840306448916977
10,종이류/신문지,0.6779385336469919
11,종이류/종이,0.5838183327615387
12,캔류/캔,0.8485449790633555
13,페트병/페트병,0.6385722342946512
14,플라스틱류/플라스틱,0.7445120840237344
15,플라스틱류/장난감,0.80734016563147
16,형광등/형광등,0.916042865055217
