class_id,class_name,mAP50_95
0,고철류/고철,0.8467688026167475
1,고철류/비철금속,0.2635886581096427
2,나무/나무,0.9315514217252403
3,도기류/도기,0.9165815022885309
4,비닐/비닐,0.8804998336023075
5,스티로폼/스티로폼,0.9617653120488632
6,유리병/유리병,0.9288602889512694
7,의류/의류,0.9248758120794885
8,종이류/책,0.9754169447921013
9,종이류/박스류,0.8849938723997889
10,종이류/신문지,0.6221537414965986
11,종이류/종이,0.6824318900613758
12,캔류/캔,0.9100948697126782
13,페트병/페트병,0.749584421069484
14,플라스틱류/플라스틱,0.8123983426485293
15,플라스틱류/장난감,0.9065167055167052
16,형광등/형광등,0.9595739538277757
