class_id,class_name,mAP50_95
0,고철류/고철,0.8121527449154
1,고철류/비철금속,0.19656970302215407
2,나무/나무,0.898426965968304
3,도기류/도기,0.8506877000038724
4,비닐/비닐,0.8431235904816917
5,스티로폼/스티로폼,0.9382000779226886
6,유리병/유리병,0.8811374940137593
7,의류/의류,0.8705395090779172
8,종이류/책,0.9699745346091231
9,종이류/박스류,0.8676418938542085
10,종이류/신문지,0.38773963858933264
11,종이류/종이,0.5411093927193535
12,캔류/캔,0.8668639482933107
13,페트병/페트병,0.6673436130973082
14,플라스틱류/플라스틱,0.7689271920630146
15,플라스틱류/장난감,0.9120963154492564
16,형광등/형광등,0.9322904000596429
