class_id,class_name,mAP50_95
0,고철류/고철,0.8228180350516144
1,고철류/비철금속,0.22179564781302377
2,나무/나무,0.9136172257266321
3,도기류/도기,0.8700134828870192
4,비닐/비닐,0.8809780905983798
5,스티로폼/스티로폼,0.9614217731224975
6,유리병/유리병,0.9015678432538226
7,의류/의류,0.9156307584777338
8,종이류/책,0.9735659802839416
9,종이류/박스류,0.8433437122623207
10,종이류/신문지,0.6811269802583473
11,종이류/종이,0.5649912827979237
12,캔류/캔,0.8976612832813788
13,페트병/페트병,0.7221676926313656
14,플라스틱류/플라스틱,0.7690437765295532
15,플라스틱류/장난감,0.9149332326119095
16,형광등/형광등,0.9513174525023557
