class_id,class_name,mAP50_95
0,고철류/고철,0.8152834254938709
1,고철류/비철금속,0.23683984510835837
2,나무/나무,0.9222455543170829
3,도기류/도기,0.8928001363938167
4,비닐/비닐,0.8909529101735719
5,스티로폼/스티로폼,0.9533489786875796
6,유리병/유리병,0.9100245969426537
7,의류/의류,0.9294884387888503
8,종이류/책,0.95522341991342
9,종이류/박스류,0.8843679948867799
10,종이류/신문지,0.32056991651759087
11,종이류/종이,0.6138531594699719
12,캔류/캔,0.903847899210346
13,페트병/페트병,0.7092236248706685
14,플라스틱류/플라스틱,0.757222567967244
15,플라스틱류/장난감,0.9445238095238094
16,형광등/형광등,0.954004974435436
