class_id,class_name,mAP50_95
0,고철류/고철,0.6407166899330421
1,고철류/비철금속,0.17197179426708506
2,나무/나무,0.7352016818612748
3,도기류/도기,0.6738457828510644
4,비닐/비닐,0.7046334003483092
5,스티로폼/스티로폼,0.8115849556944141
6,유리병/유리병,0.717168971125741
7,의류/의류,0.7098565262862787
8,종이류/책,0.8175678562802515
9,종이류/박스류,0.738328141502777
10,종이류/신문지,0.4231222222222222
11,종이류/종이,0.30382416270344836
12,캔류/캔,0.7296628126076706
13,페트병/페트병,0.5422132385825674
14,플라스틱류/플라스틱,0.5729437407547412
15,플라스틱류/장난감,0.7855570867366535
16,형광등/형광등,0.7751826758925289
