class_id,class_name,mAP50_95
0,고철류/고철,0.8567137614037451
1,고철류/비철금속,0.26720831948369983
2,나무/나무,0.9348911211963085
3,도기류/도기,0.9169902550235414
4,비닐/비닐,0.8861123280715647
5,스티로폼/스티로폼,0.9600421007109945
6,유리병/유리병,0.9182549948365122
7,의류/의류,0.916873982494501
8,종이류/책,0.9645198118287681
9,종이류/박스류,0.8852971703488958
10,종이류/신문지,0.7114621971595655
11,종이류/종이,0.6055810306615725
12,캔류/캔,0.9162181531377191
13,페트병/페트병,0.7535406830382162
14,플라스틱류/플라스틱,0.8264280226652442
15,플라스틱류/장난감,0.9143945857081551
16,형광등/형광등,0.9595996216979181
