class_id,class_name,mAP50_95
0,고철류/고철,0.8402430288317293
1,고철류/비철금속,0.30415125139366916
2,나무/나무,0.9121962880665082
3,도기류/도기,0.8545670037692688
4,비닐/비닐,0.8409903641466222
5,스티로폼/스티로폼,0.9393863933947632
6,유리병/유리병,0.8909081585853997
7,의류/의류,0.900140841258074
8,종이류/책,0.964207340679822
9,종이류/박스류,0.8637720425517887
10,종이류/신문지,0.1914511617414843
11,종이류/종이,0.5660261461480279
12,캔류/캔,0.8624622115973525
13,페트병/페트병,0.7007974789950459
14,플라스틱류/플라스틱,0.7383067969534061
15,플라스틱류/장난감,0.9478249649547597
16,형광등/형광등,0.9569097959782619
