class_id,class_name,mAP50_95
0,고철류/고철,0.8184944873870237
1,고철류/비철금속,0.22345676358147162
2,나무/나무,0.9178910908118547
3,도기류/도기,0.8425308151173905
4,비닐/비닐,0.8809652938803773
5,스티로폼/스티로폼,0.9612787258491355
6,유리병/유리병,0.89786044766834
7,의류/의류,0.9164962135851912
8,종이류/책,0.9413675679020914
9,종이류/박스류,0.8152188650146893
10,종이류/신문지,0.4555538664904163
11,종이류/종이,0.5130373217026704
12,캔류/캔,0.8796140854148142
13,페트병/페트병,0.6935908534689015
14,플라스틱류/플라스틱,0.7316962105442932
15,플라스틱류/장난감,0.9245318147358181
16,형광등/형광등,0.9449179937336577
