class_id,class_name,mAP50_95
0,고철류/고철,0.7666231730719191
1,고철류/비철금속,0.20565178957098373
2,나무/나무,0.8420449198851625
3,도기류/도기,0.8453546765392798
4,비닐/비닐,0.8344264803575714
5,스티로폼/스티로폼,0.8973197100020787
6,유리병/유리병,0.8623069759158838
7,의류/의류,0.8600464150171089
8,종이류/책,0.891071262213989
9,종이류/박스류,0.8288957284466447
10,종이류/신문지,0.5598295019157088
11,종이류/종이,0.480225166227624
12,캔류/캔,0.850538251543344
13,페트병/페트병,0.6728988262902309
14,플라스틱류/플라스틱,0.7329362472784327
15,플라스틱류/장난감,0.8218937111351842
16,형광등/형광등,0.9136212290941106
