class_id,class_name,mAP50_95
0,고철류/고철,0.842709079115517
1,고철류/비철금속,0.3279401015970981
2,나무/나무,0.9204423678550055
3,도기류/도기,0.8787663947071817
4,비닐/비닐,0.8647720059212348
5,스티로폼/스티로폼,0.9497635230345496
6,유리병/유리병,0.9001213654316412
7,의류/의류,0.9044862616906295
8,종이류/책,0.9584440538807423
9,종이류/박스류,0.8593218424299343
10,종이류/신문지,0.3414185481185481
11,종이류/종이,0.532632851422424
12,캔류/캔,0.8856635914006784
13,페트병/페트병,0.6933342449390623
14,플라스틱류/플라스틱,0.7342474608223082
15,플라스틱류/장난감,0.8975362041467305
16,형광등/형광등,0.9505768807206069
