class_id,class_name,mAP50_95
0,고철류/고철,0.8570714531632715
1,고철류/비철금속,0.35766859951500196
2,나무/나무,0.922444385913303
3,도기류/도기,0.8880395732935756
4,비닐/비닐,0.8942424246234483
5,스티로폼/스티로폼,0.9602467544791807
6,유리병/유리병,0.9059274076270596
7,의류/의류,0.9278414264944033
8,종이류/책,0.9613635116612924
9,종이류/박스류,0.8782777097767355
10,종이류/신문지,0.7229111111111111
11,종이류/종이,0.5648375825203579
12,캔류/캔,0.8967841335770824
13,페트병/페트병,0.6535310249951273
14,플라스틱류/플라스틱,0.7717362982078215
15,플라스틱류/장난감,0.9414503437198845
16,형광등/형광등,0.9458831200813697
