class_id,class_name,mAP50_95
0,고철류/고철,0.834101131483358
1,고철류/비철금속,0.23088931503467328
2,나무/나무,0.9353178081717397
3,도기류/도기,0.8891206497251657
4,비닐/비닐,0.863776719965613
5,스티로폼/스티로폼,0.9502054248197149
6,유리병/유리병,0.9038453804949386
7,의류/의류,0.9151317161925372
8,종이류/책,0.9740726132043239
9,종이류/박스류,0.869564092893657
10,종이류/신문지,0.2810562359540621
11,종이류/종이,0.6070352997560137
12,캔류/캔,0.874756172637721
13,페트병/페트병,0.7163770506811343
14,플라스틱류/플라스틱,0.7539304698826921
15,플라스틱류/장난감,0.9311773195876288
16,형광등/형광등,0.9556280348141353
