class_id,class_name,mAP50_95
0,고철류/고철,0.8427649105532998
1,고철류/비철금속,0.26973103798456327
2,나무/나무,0.9149845827201867
3,도기류/도기,0.8912725464246222
4,비닐/비닐,0.8571641858353827
5,스티로폼/스티로폼,0.9456724477364936
6,유리병/유리병,0.8875633888739138
7,의류/의류,0.9168446042427668
8,종이류/책,0.9671547745264901
9,종이류/박스류,0.8656021752063637
10,종이류/신문지,0.2986766233766234
11,종이류/종이,0.5063330369146427
12,캔류/캔,0.9085967510654559
13,페트병/페트병,0.709336108679103
14,플라스틱류/플라스틱,0.7240156748520478
15,플라스틱류/장난감,0.9032504796790513
16,형광등/형광등,0.9498690904075524
