class_id,class_name,mAP50_95
0,고철류/고철,0.8586939568035511
1,고철류/비철금속,0.3226093296762375
2,나무/나무,0.9271775159430202
3,도기류/도기,0.8919535671171515
4,비닐/비닐,0.87319771084916
5,스티로폼/스티로폼,0.9478129785078495
6,유리병/유리병,0.8897341280609249
7,의류/의류,0.911098272701145
8,종이류/책,0.9578581503901935
9,종이류/박스류,0.8495346153663409
10,종이류/신문지,0.591145670995671
11,종이류/종이,0.5979368313260945
12,캔류/캔,0.8922568288628954
13,페트병/페트병,0.7350368589841818
14,플라스틱류/플라스틱,0.7718095846757105
15,플라스틱류/장난감,0.8848268809012149
16,형광등/형광등,0.950807183905124
