class_id,class_name,mAP50_95
0,고철류/고철,0.7146924064922968
1,고철류/비철금속,0.21377498236668274
2,나무/나무,0.7344774031563832
3,도기류/도기,0.7005924348302163
4,비닐/비닐,0.6659755113136134
5,스티로폼/스티로폼,0.8289825502193418
6,유리병/유리병,0.7533281116316028
7,의류/의류,0.7767247536976611
8,종이류/책,0.8688517074786708
9,종이류/박스류,0.7341610670136739
10,종이류/신문지,0.12218930899554759
11,종이류/종이,0.31487271910954956
12,캔류/캔,0.7133460713132445
13,페트병/페트병,0.3909881390299199
14,플라스틱류/플라스틱,0.5984333737916782
15,플라스틱류/장난감,0.7632628900358464
16,형광등/형광등,0.7650817906310245
