class_id,class_name,mAP50_95
0,고철류/고철,0.8384293144088556
1,고철류/비철금속,0.1778934736143786
2,나무/나무,0.9255173662004124
3,도기류/도기,0.8952363494607074
4,비닐/비닐,0.8716745019896438
5,스티로폼/스티로폼,0.9438085279695467
6,유리병/유리병,0.9097106231438431
7,의류/의류,0.935017049483822
8,종이류/책,0.9616377757223399
9,종이류/박스류,0.8753809216817343
10,종이류/신문지,0.6998193548387097
11,종이류/종이,0.6614465011462115
12,캔류/캔,0.9018024663828118
13,페트병/페트병,0.7699801733236954
14,플라스틱류/플라스틱,0.7930730101659431
15,플라스틱류/장난감,0.9071048999309868
16,형광등/형광등,0.950488441752211
