class_id,class_name,mAP50_95
0,고철류/고철,0.8759038503586416
1,고철류/비철금속,0.19090324456066238
2,나무/나무,0.9180073835517435
3,도기류/도기,0.8988366708689799
4,비닐/비닐,0.9249176290064287
5,스티로폼/스티로폼,0.9353008878185367
6,유리병/유리병,0.8976018809545533
7,의류/의류,0.9345707219771571
8,종이류/책,0.95839562525674
9,종이류/박스류,0.8948422527896336
10,종이류/신문지,0.7883387012987012
11,종이류/종이,0.6409429135079667
12,캔류/캔,0.9332003544611747
13,페트병/페트병,0.7918297169214186
14,플라스틱류/플라스틱,0.8000026282096151
15,플라스틱류/장난감,0.9213727447990607
16,형광등/형광등,0.9573121955134664
