class_id,class_name,mAP50_95
0,고철류/고철,0.8679224076560883
1,고철류/비철금속,0.28536389921570376
2,나무/나무,0.9351721589257214
3,도기류/도기,0.9091516746065649
4,비닐/비닐,0.9367770604791135
5,스티로폼/스티로폼,0.9547601397747206
6,유리병/유리병,0.9250754258390778
7,의류/의류,0.9307914257048668
8,종이류/책,0.9566184170415555
9,종이류/박스류,0.9175708921183977
10,종이류/신문지,0.8094666666666669
11,종이류/종이,0.6905938029807013
12,캔류/캔,0.9491279782544041
13,페트병/페트병,0.7847487069862575
14,플라스틱류/플라스틱,0.8010688007328683
15,플라스틱류/장난감,0.8513197280016165
16,형광등/형광등,0.9594398304333238
