class_id,class_name,mAP50_95
0,고철류/고철,0.8727768139240076
1,고철류/비철금속,0.21348514697499393
2,나무/나무,0.9385679892416375
3,도기류/도기,0.9144151114820979
4,비닐/비닐,0.9316453220806841
5,스티로폼/스티로폼,0.964852169555639
6,유리병/유리병,0.9253404422979192
7,의류/의류,0.9201238710649131
8,종이류/책,0.9819577340928554
9,종이류/박스류,0.8995788388640472
10,종이류/신문지,0.6982317226890756
11,종이류/종이,0.7292778318264731
12,캔류/캔,0.9117491061198362
13,페트병/페트병,0.795853774736971
14,플라스틱류/플라스틱,0.8556106951579731
15,플라스틱류/장난감,0.9043789321789321
16,형광등/형광등,0.9498676517420085
