class_id,class_name,mAP50_95
0,고철류/고철,0.8783044453474458
1,고철류/비철금속,0.27131874410252416
2,나무/나무,0.9356678274808846
3,도기류/도기,0.913905928653336
4,비닐/비닐,0.943410498856475
5,스티로폼/스티로폼,0.9781006348559649
6,유리병/유리병,0.9235646056057574
7,의류/의류,0.9397657979925199
8,종이류/책,0.9467660076585
9,종이류/박스류,0.9033605562433115
10,종이류/신문지,0.8307333333333332
11,종이류/종이,0.6930320114897978
12,캔류/캔,0.9482725278347865
13,페트병/페트병,0.8123359274178844
14,플라스틱류/플라스틱,0.826670948815672
15,플라스틱류/장난감,0.8866016483044661
16,형광등/형광등,0.9614721881747279
