class_id,class_name,mAP50_95
0,고철류/고철,0.8693953165934574
1,고철류/비철금속,0.19725784471658706
2,나무/나무,0.9259381306422105
3,도기류/도기,0.9109149312756809
4,비닐/비닐,0.9199940236387258
5,스티로폼/스티로폼,0.954294631195275
6,유리병/유리병,0.9205126783967403
7,의류/의류,0.9206232449334681
8,종이류/책,0.934406550440824
9,종이류/박스류,0.8787933615096426
10,종이류/신문지,0.7797544117647058
11,종이류/종이,0.5375191877363603
12,캔류/캔,0.9393277434040981
13,페트병/페트병,0.8064699589479332
14,플라스틱류/플라스틱,0.7900477091448683
15,플라스틱류/장난감,0.9268347026364193
16,형광등/형광등,0.9647058650488196
