class_id,class_name,mAP50_95
0,고철류/고철,0.8926743200490567
1,고철류/비철금속,0.257513437686471
2,나무/나무,0.93956763570504
3,도기류/도기,0.8988311317337772
4,비닐/비닐,0.9223568999113276
5,스티로폼/스티로폼,0.9663827796139961
6,유리병/유리병,0.9174152881755235
7,의류/의류,0.9219681818630034
8,종이류/책,0.9646520139810544
9,종이류/박스류,0.9143496911212482
10,종이류/신문지,0.6910747103747772
11,종이류/종이,0.6473601089054161
12,캔류/캔,0.9266765784931742
13,페트병/페트병,0.7678352691640746
14,플라스틱류/플라스틱,0.8140956679059412
15,플라스틱류/장난감,0.8832444894630653
16,형광등/형광등,0.9550624478303315
