class_id,class_name,mAP50_95
0,고철류/고철,0.887205840359159
1,고철류/비철금속,0.1770966662187786
2,나무/나무,0.9438073310065571
3,도기류/도기,0.8950996012962232
4,비닐/비닐,0.9227461100166512
5,스티로폼/스티로폼,0.9681828654809905
6,유리병/유리병,0.9255279700574635
7,의류/의류,0.9188711061311887
8,종이류/책,0.9648304494638105
9,종이류/박스류,0.9111702779216981
10,종이류/신문지,0.746642857142857
11,종이류/종이,0.6267073067705706
12,캔류/캔,0.9270058990181262
13,페트병/페트병,0.7950547086440911
14,플라스틱류/플라스틱,0.8414285566257632
15,플라스틱류/장난감,0.8506638026220605
16,형광등/형광등,0.9616892530970838
