class_id,class_name,mAP50_95,train,val
0,고철류/고철,0.004932637117346939,13,2
1,고철류/골프채,0.6378571428571431,9,2
2,고철류/기타,0.011179775280898878,10,2
3,고철류/비철금속,0.0071638907967033,9,2
4,고철류/전기프라이팬,0.015967741935483868,9,2
5,고철류/주전자,0.09153809523809524,9,3
6,고철류/철옷걸이,0.41416666666666657,12,2
7,고철류/프라이팬,0.5190384615384612,9,3
8,나무/기타,0.005380434782608695,13,2
9,나무/나무행거,0.6288345864661655,9,2
10,나무/도마,0.2842857142857142,9,2
11,나무/액자,0.6497730769230771,14,3
12,나무/장식품,0.029117647058823533,12,2
13,나무/주걱,0.5628160919540229,10,2
14,나무/주방용품,0.11897517776341307,12,4
15,나무/포장재,0.03504708904109589,9,2
16,도기류/그릇류,0.03628061224489797,15,3
17,도기류/기타,0.012692307692307692,6,2
18,도기류/뚝배기,0.07530303030303032,9,2
19,도기류/받침,0.4580033444816053,9,2
20,도기류/병,0.027638888888888886,10,1
21,도기류/장식품,0.061875,10,2
22,도기류/주전자,0.0826190476190476,9,2
23,도기류/컵,0.1622115384615384,10,2
24,도기류/항아리,0.19080301685891754,10,2
25,도기류/화분,0.9949999999999999,10,2
26,비닐/과자봉지,0.09686842105263158,9,2
27,비닐/기타,0.14157692307692313,7,2
28,비닐/리필용기,0.5213157894736843,9,2
29,비닐/봉투,0.05680555555555557,10,2
30,비닐/에어캡,0.5664285714285715,9,2
31,비닐/일회용덮개,0.0,9,2
32,비닐/포장제,0.0,9,2
33,스티로폼/네모트레이,0.16610855263157892,18,3
34,스티로폼/보호재,0.49749999999999994,11,2
35,스티로폼/스티로폼,0.5027983193277309,10,3
36,스티로폼/포장용기,0.054197767145135564,10,3
37,유리병/기타,0.046751546391752594,9,2
38,유리병/기타술병,0.0423404255319149,9,2
39,유리병/맥주병,0.004267241379310345,9,2
40,유리병/물병,0.0,9,2
41,유리병/박카스병,0.02962355212355212,10,2
42,유리병/소주병,0.5054651162790699,9,2
43,유리병/음료수병,0.08617647058823533,9,2
44,유리병/주방용기,0.028028169014084503,9,2
45,의류/기타,0.22973735538290593,5,0
46,의류/기타의류,0.0837175879396985,9,2
47,의류/레깅스,0.5253030303030303,9,2
48,의류/면의류,0.0698690476190476,9,2
49,의류/상의,0.08175806451612902,13,2
50,의류/외투,0.2808333333333334,10,2
51,의류/원피스,0.92025,9,2
52,의류/하의,0.086537037037037,9,2
53,의류/합성섬유,0.13746153846153847,9,2
54,종이류/기타,0.0,9,2
55,종이류/노트,0.9949999999999999,10,2
56,종이류/상자류,0.13874999999999998,9,3
57,종이류/신문지,0.027500000000000004,9,2
58,종이류/신발상자,0.5616666666666668,9,2
59,종이류/음료수곽,0.21500000000000002,9,2
60,종이류/종이봉투,0.08277777777777776,9,2
61,종이류/책자,0.11105121951219513,9,2
62,종이류/포장상자,0.019799999999999995,10,2
63,캔류/기타,0.22973735538290593,5,0
64,캔류/맥주캔,0.04697478991596637,10,2
65,캔류/스팸류,0.1983333333333333,9,2
66,캔류/음료수캔,0.0,9,2
67,캔류/참기름캔,0.3308333333333334,9,2
68,캔류/커피캔,0.4873705882352941,10,2
69,캔류/통조림캔,0.0825,9,2
70,페트병/기타,0.008567307692307692,9,2
71,페트병/일회용음료수잔,0.045,9,2
72,페트병/페트병,0.03156730769230771,10,2
73,플라스틱류/기타,0.009900497512437817,11,2
74,플라스틱류/대용량플라스틱통,0.9949999999999999,16,2
75,플라스틱류/밀폐용기,0.0,18,2
76,플라스틱류/바구니,0.010558470764617692,12,3
77,플라스틱류/욕실용품,0.017385365853658536,11,3
78,플라스틱류/장남감,0.02190265486725664,10,2
79,형광등/LED전구,0.6390760869565217,9,3
80,형광등/기타,0.22973735538290593,14,0
81,형광등/백열전구,0.5061111111111111,10,2
82,형광등/안정기내장형,0.49749999999999994,9,2
83,형광등/직관형,0.36384090909090905,9,2
84,형광등/콤팩트형,0.27874999999999994,11,2
85,형광등/환형,0.6950000000000001,9,2
