id,name,family,runs,mAP50_95_mean,mAP50_95_std,mAP50_mean,precision_mean,recall_mean,train_minutes_mean
B01,yolo_default_baseline,baseline,3,0.2253540113020612,0.011841630945083908,0.23337658782513634,0.2960516976927081,0.22405063088086385,54.84351208833329
Y14,yolo_mosaic_mixup_cutmix,yolo_combo,3,0.21058392918379262,0.010268790428671948,0.21946756665145786,0.25850203906191854,0.20930959615160483,51.22995171166662
H04,cv_jpeg_plus_yolo_hsv_geo,hybrid,3,0.20089927907795002,0.017731888807915028,0.2317021548727344,0.2804470380991048,0.23764295398015514,51.3577689333333
