status,id,name,family,description,seed,data_kind,cv_policy,dataset_yaml,requested_epochs,actual_epochs,train_minutes,best_pt,save_dir,per_class_csv,unknown_filtered_aug_args,precision,recall,f1,mAP50,mAP75,mAP50_95,inference_ms_per_image
OK,C11,opencv_horizontal_flip,opencv_single,OpenCV static augmentation: horizontal_flip,42,opencv,horizontal_flip,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\opencv_datasets\horizontal_flip\seed_42\data.yaml,50,50,51.086349016666645,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\C11_opencv_horizontal_flip_seed42\weights\best.pt,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\C11_opencv_horizontal_flip_seed42,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\report\per_class\C11_opencv_horizontal_flip_seed42.csv,augmentations,0.2818990831713258,0.1383005985372028,0.185563262547763,0.1567826878789196,0.1554318058027602,0.1525257655253674,8.96802363682637
OK,C12,opencv_photometric_combo,opencv_combo,OpenCV static augmentation: photometric_combo,42,opencv,photometric_combo,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\opencv_datasets\photometric_combo\seed_42\data.yaml,50,50,49.68937529999991,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\C12_opencv_photometric_combo_seed42\weights\best.pt,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\C12_opencv_photometric_combo_seed42,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\report\per_class\C12_opencv_photometric_combo_seed42.csv,augmentations,0.3495084574518392,0.1558035651065032,0.2155288664226622,0.1756198841049215,0.1746494984974509,0.1717228124080372,10.69526242411512
OK,C13,opencv_geometric_combo,opencv_combo,OpenCV static augmentation: geometric_combo,42,opencv,geometric_combo,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\opencv_datasets\geometric_combo\seed_42\data.yaml,50,50,49.64876110666664,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\C13_opencv_geometric_combo_seed42\weights\best.pt,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\C13_opencv_geometric_combo_seed42,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\report\per_class\C13_opencv_geometric_combo_seed42.csv,augmentations,0.3212567523039215,0.1251922538366213,0.1801722316680448,0.1691599526704125,0.1678017437218421,0.1436018866431131,14.11292000019316
OK,C14,opencv_mixed_combo,opencv_combo,OpenCV static augmentation: mixed_combo,42,opencv,mixed_combo,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\opencv_datasets\mixed_combo\seed_42\data.yaml,50,48,48.44325812,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\C14_opencv_mixed_combo_seed42\weights\best.pt,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\C14_opencv_mixed_combo_seed42,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\report\per_class\C14_opencv_mixed_combo_seed42.csv,augmentations,0.2941832595018697,0.129277905606448,0.1796216455558648,0.1425632377172699,0.1415509341527699,0.1195232307965003,9.496647272890462
OK,H01,cv_photo_plus_yolo_geo,hybrid,OpenCV photometric + YOLO online geometry,42,opencv,photometric_combo,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\opencv_datasets\photometric_combo\seed_42\data.yaml,50,50,48.64390730166657,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\H01_cv_photo_plus_yolo_geo_seed42\weights\best.pt,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\H01_cv_photo_plus_yolo_geo_seed42,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\report\per_class\H01_cv_photo_plus_yolo_geo_seed42.csv,augmentations,0.1874115503198619,0.227329182822518,0.2054493864777418,0.2192319752464686,0.2175854397934333,0.1855527528485135,6.422680605883767
OK,H02,cv_geo_plus_yolo_hsv,hybrid,OpenCV geometry + YOLO online HSV,42,opencv,geometric_combo,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\opencv_datasets\geometric_combo\seed_42\data.yaml,50,37,39.27005642166672,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\H02_cv_geo_plus_yolo_hsv_seed42\weights\best.pt,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\H02_cv_geo_plus_yolo_hsv_seed42,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\report\per_class\H02_cv_geo_plus_yolo_hsv_seed42.csv,augmentations,0.283466514059512,0.1582997942826096,0.2031512589994889,0.1543542431100775,0.1532604290481904,0.1355731399638777,9.637979999939544
OK,H03,cv_mixed_plus_yolo_light,hybrid,OpenCV mixed + 약한 YOLO online augmentation,42,opencv,mixed_combo,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\opencv_datasets\mixed_combo\seed_42\data.yaml,50,45,47.90292775833344,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\H03_cv_mixed_plus_yolo_light_seed42\weights\best.pt,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\H03_cv_mixed_plus_yolo_light_seed42,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\report\per_class\H03_cv_mixed_plus_yolo_light_seed42.csv,augmentations,0.4172998457305568,0.1871950690101317,0.2584520448876189,0.207565665259037,0.2039001220607997,0.1559502870189922,6.003306666653688
OK,H04,cv_jpeg_plus_yolo_hsv_geo,hybrid,업로드 압축 품질 저하 + YOLO 색/기하 변화,42,opencv,jpeg_compression,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\opencv_datasets\jpeg_compression\seed_42\data.yaml,50,50,51.77884061999988,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\H04_cv_jpeg_plus_yolo_hsv_geo_seed42\weights\best.pt,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\H04_cv_jpeg_plus_yolo_hsv_geo_seed42,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\report\per_class\H04_cv_jpeg_plus_yolo_hsv_geo_seed42.csv,augmentations,0.2671146297971591,0.2468684617322245,0.2565927901168223,0.2449702837973413,0.2427146471054759,0.2159077311752063,8.99603393944827
OK,H04,cv_jpeg_plus_yolo_hsv_geo,hybrid,업로드 압축 품질 저하 + YOLO 색/기하 변화,123,opencv,jpeg_compression,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\opencv_datasets\jpeg_compression\seed_123\data.yaml,50,50,52.22989158666678,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\H04_cv_jpeg_plus_yolo_hsv_geo_seed123\weights\best.pt,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\H04_cv_jpeg_plus_yolo_hsv_geo_seed123,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\report\per_class\H04_cv_jpeg_plus_yolo_hsv_geo_seed123.csv,augmentations,0.2826795396234244,0.2311126064467244,0.2543083061554235,0.2404825833729314,0.2372934025441914,0.2054565477513509,10.916830909219712
OK,H04,cv_jpeg_plus_yolo_hsv_geo,hybrid,업로드 압축 품질 저하 + YOLO 색/기하 변화,777,opencv,jpeg_compression,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\opencv_datasets\jpeg_compression\seed_777\data.yaml,50,48,50.064574593333234,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\H04_cv_jpeg_plus_yolo_hsv_geo_seed777\weights\best.pt,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\H04_cv_jpeg_plus_yolo_hsv_geo_seed777,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\report\per_class\H04_cv_jpeg_plus_yolo_hsv_geo_seed777.csv,augmentations,0.2915469448767309,0.2349477937615166,0.2602051129850448,0.2096535974479306,0.2059341514053297,0.1813335583072928,9.581580605872936
OK,Y14,yolo_mosaic_mixup_cutmix,yolo_combo,세 가지 multi-image augmentation 조합,123,processed,,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\report\summary\runtime_processed.yaml,50,49,51.52355562999995,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\Y14_yolo_mosaic_mixup_cutmix_seed123\weights\best.pt,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\Y14_yolo_mosaic_mixup_cutmix_seed123,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\report\per_class\Y14_yolo_mosaic_mixup_cutmix_seed123.csv,augmentations,0.2554137301517585,0.2105095932547572,0.2307978061832957,0.2304305654598168,0.2290443264811619,0.2185086006601386,10.07732606032567
OK,Y14,yolo_mosaic_mixup_cutmix,yolo_combo,세 가지 multi-image augmentation 조합,777,processed,,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\report\summary\runtime_processed.yaml,50,50,52.767278206666624,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\Y14_yolo_mosaic_mixup_cutmix_seed777\weights\best.pt,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\Y14_yolo_mosaic_mixup_cutmix_seed777,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\report\per_class\Y14_yolo_mosaic_mixup_cutmix_seed777.csv,augmentations,0.2952731950512227,0.202408434691664,0.2401767782652565,0.2063879555316707,0.2056941712205419,0.1989830239877973,8.975568485082919
OK,B01,yolo_default_baseline,baseline,Ultralytics 현재 버전의 기본 augmentation 그대로,123,processed,,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\report\summary\runtime_processed.yaml,50,50,52.394422605,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\B01_yolo_default_baseline_seed123\weights\best.pt,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\B01_yolo_default_baseline_seed123,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\report\per_class\B01_yolo_default_baseline_seed123.csv,,0.2848017548397208,0.2146869150054226,0.2448232115199994,0.238417486169763,0.2377492174308508,0.2297373553829059,11.165473333323572
OK,B01,yolo_default_baseline,baseline,Ultralytics 현재 버전의 기본 augmentation 그대로,777,processed,,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\report\summary\runtime_processed.yaml,50,50,52.581610094999874,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\B01_yolo_default_baseline_seed777\weights\best.pt,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\runs\B01_yolo_default_baseline_seed777,C:\ai_challingers\recycling_ssg\ai\models\yolo\01_experiment_augmentation\report\per_class\B01_yolo_default_baseline_seed777.csv,,0.3367497910788168,0.24351357783094532,0.28264112764346666,0.24228710372470788,0.23990142270604045,0.23437902078699485,5.044553333198454
