class_id,class_name,mAP50_95
0,고철류/고철,0.8532362406471157
1,고철류/비철금속,0.21246369170619608
2,나무/나무,0.9343091475070089
3,도기류/도기,0.8659452308764843
4,비닐/비닐,0.9111837525733936
5,스티로폼/스티로폼,0.9489159396438624
6,유리병/유리병,0.9009755852570098
7,의류/의류,0.9247333523866758
8,종이류/책,0.9507604834100485
9,종이류/박스류,0.8827039231475491
10,종이류/신문지,0.8480857142857143
11,종이류/종이,0.6838697434326455
12,캔류/캔,0.9312239068177279
13,페트병/페트병,0.7466364741047787
14,플라스틱류/플라스틱,0.7188630042786632
15,플라스틱류/장난감,0.907509571461435
16,형광등/형광등,0.9499000858876563
