class_id,class_name,mAP50_95
0,고철류/고철,0.8270529865059885
1,고철류/비철금속,0.21787385113658836
2,나무/나무,0.9152984423501552
3,도기류/도기,0.8714627078216314
4,비닐/비닐,0.9127733758004227
5,스티로폼/스티로폼,0.9586706299085049
6,유리병/유리병,0.9037401695709107
7,의류/의류,0.9074680481618032
8,종이류/책,0.9333459507863979
9,종이류/박스류,0.9014914319181584
10,종이류/신문지,0.6895874861572535
11,종이류/종이,0.6925759884611977
12,캔류/캔,0.9235480134583376
13,페트병/페트병,0.7585473348213655
14,플라스틱류/플라스틱,0.7543936378577255
15,플라스틱류/장난감,0.8266490812541629
16,형광등/형광등,0.9617017297630213
