class_id,class_name,mAP50_95
0,고철류/고철,0.9068159172417445
1,고철류/비철금속,0.2604808495697609
2,나무/나무,0.9483736292462732
3,도기류/도기,0.9199978700737574
4,비닐/비닐,0.9272993380593558
5,스티로폼/스티로폼,0.9681721493055109
6,유리병/유리병,0.9248739718105474
7,의류/의류,0.9194877253835194
8,종이류/책,0.9735603251820641
9,종이류/박스류,0.9069535590254201
10,종이류/신문지,0.7174202898550726
11,종이류/종이,0.7044787560544451
12,캔류/캔,0.9408863756853121
13,페트병/페트병,0.8002888144927581
14,플라스틱류/플라스틱,0.8192298590145676
15,플라스틱류/장난감,0.9071743811873374
16,형광등/형광등,0.9604840105885675
