class_id,class_name,mAP50_95
0,고철류/고철,0.893736131611476
1,고철류/비철금속,0.30152874994711815
2,나무/나무,0.9490477398065893
3,도기류/도기,0.9261541192377125
4,비닐/비닐,0.9460757950085581
5,스티로폼/스티로폼,0.9717952177492796
6,유리병/유리병,0.9380980045528429
7,의류/의류,0.9401293257774285
8,종이류/책,0.9669455893830605
9,종이류/박스류,0.9273560574710651
10,종이류/신문지,0.7876647058823528
11,종이류/종이,0.7701083921953662
12,캔류/캔,0.94727501932684
13,페트병/페트병,0.7900544857793445
14,플라스틱류/플라스틱,0.8185114362774344
15,플라스틱류/장난감,0.8993070012694074
16,형광등/형광등,0.9644347889980956
