trial,state,mAP50_95,param_optimizer,param_lr0,param_lrf,param_momentum,param_weight_decay,param_warmup_epochs,param_cos_lr,actual_epochs,f1,inference_ms_per_image,mAP50,mAP75,precision,recall,train_minutes
24,COMPLETE,0.5230391370593804,SGD,0.007539726273262295,0.46950833191947977,0.9135816587868657,6.432729613286589e-05,4.480543291023899,True,15.0,0.5376571974395262,6.884762108228531,0.5446016576618781,0.5397383309621862,0.5430625910746054,0.5323583488760455,86.98878092166657
23,COMPLETE,0.5209415502474027,SGD,0.004928743342321972,0.35384036699409716,0.9485420920943789,1.4642481193608707e-05,3.5391917958627177,True,15.0,0.5371286323319187,6.6770945934392385,0.5395649892706165,0.5341374119152263,0.5146713344261428,0.5616351616362708,88.1799115916668
17,COMPLETE,0.5155438380226558,SGD,0.0072392274801469725,0.2941029215807865,0.9058361766340621,2.4069441873202768e-05,1.8138283477781594,True,15.0,0.5339044877120678,4.9228136755789675,0.5342488747022696,0.5297598874082025,0.5415748113633406,0.5264483994218917,80.08650829666658
19,COMPLETE,0.5113291049698084,SGD,0.004670371736022987,0.2958019905793351,0.9535178075402706,2.4565648321158355e-05,2.7451554295005534,True,15.0,0.5356931640756603,5.006626033585048,0.5293637452788765,0.5247082966222983,0.5250290501924436,0.5467994672174613,80.05159520499996
22,COMPLETE,0.5088660696279984,SGD,0.007408828016073059,0.7559435003562928,0.8770650269638499,4.525687221492615e-05,2.3425876075238734,True,15.0,0.5354777382168812,5.880214311694494,0.5303545105926388,0.5260741386905367,0.5419413092925156,0.5291665281159402,103.45802037333318
16,COMPLETE,0.5081445585193989,SGD,0.008889752843312258,0.06528569464553395,0.9268222347520425,1.2015715001570911e-05,2.2482543000429462,True,15.0,0.5208734505792632,4.629351567416532,0.5258292728886691,0.5211546175112728,0.4817546656447703,0.5669066290432434,79.99823574166658
26,COMPLETE,0.5036177928422834,SGD,0.004775588112564889,0.295640551064186,0.9150368677024597,1.3480748922352651e-05,4.970467325136842,True,15.0,0.5186481451531948,6.595977328512805,0.5207626297061053,0.5167428829758428,0.5338507419127423,0.5042874299812989,86.88773563499998
25,COMPLETE,0.4860975037535499,SGD,0.005058717639741011,0.9122856687862859,0.8587040173438129,2.7729984174369115e-05,4.279447623545459,True,15.0,0.5059760287660013,6.685229350254406,0.5034944113023326,0.49975542959696034,0.49302854769957255,0.5196218804936236,86.87684274999968
15,COMPLETE,0.4782708369407016,SGD,0.004543150064878825,0.4580542806331081,0.8713912910944959,2.2180915021509056e-06,1.6695248716929618,True,15.0,0.5009745956640534,4.870243207704926,0.49519335679873744,0.49026403956539943,0.49877483960570446,0.5031938409270628,80.05075320833323
20,COMPLETE,0.4709746460349817,SGD,0.0035500779221023827,0.0476688326446087,0.9288709458135057,3.197998699481231e-05,3.374417839543286,True,15.0,0.4925122939118778,6.833436574202921,0.4859531096368395,0.4825037533489379,0.4815889270723802,0.5039426871972924,84.97264261499998
