parameter,importance
lrf,0.35029496910969615
lr0,0.22301991187119355
warmup_epochs,0.1567547593497723
momentum,0.1453598505383627
weight_decay,0.1166553706172113
cos_lr,0.006223142363644554
optimizer,0.0016919961501194126
