class_name,B00,B01,B02,B03,C11
고철류/비철금속,0.2430740313883778,0.3015287499471181,0.2604808495697609,0.212463691706196,0.2178738511365883
종이류/신문지,0.8260870646766166,0.7876647058823528,0.7174202898550726,0.8480857142857143,0.6895874861572535
종이류/종이,0.6889808315891222,0.7701083921953662,0.7044787560544451,0.6838697434326455,0.6925759884611977
플라스틱류/플라스틱,0.7658740856644385,0.8185114362774344,0.8192298590145676,0.7188630042786632,0.7543936378577255
페트병/페트병,0.775940368016034,0.7900544857793445,0.8002888144927581,0.7466364741047787,0.7585473348213655
플라스틱류/장난감,0.9204420398823142,0.8993070012694074,0.9071743811873374,0.907509571461435,0.8266490812541629
고철류/고철,0.8507434585912212,0.893736131611476,0.9068159172417444,0.8532362406471157,0.8270529865059885
도기류/도기,0.9094438802100672,0.9261541192377124,0.9199978700737574,0.8659452308764843,0.8714627078216314
종이류/박스류,0.8955007343582801,0.9273560574710652,0.90695355902542,0.8827039231475491,0.9014914319181584
유리병/유리병,0.9115224551261848,0.9380980045528428,0.9248739718105474,0.9009755852570098,0.9037401695709107
의류/의류,0.9195708323669988,0.9401293257774284,0.9194877253835194,0.9247333523866758,0.9074680481618032
비닐/비닐,0.9254275204760418,0.946075795008558,0.9272993380593558,0.9111837525733936,0.9127733758004228
나무/나무,0.9266403033999436,0.9490477398065892,0.9483736292462732,0.9343091475070088,0.9152984423501552
캔류/캔,0.936771384150957,0.94727501932684,0.940886375685312,0.931223906817728,0.9235480134583376
종이류/책,0.9641309441814644,0.9669455893830604,0.973560325182064,0.9507604834100484,0.933345950786398
스티로폼/스티로폼,0.9623605925393328,0.9717952177492796,0.9681721493055108,0.9489159396438624,0.9586706299085048
형광등/형광등,0.9640141452774048,0.9644347889980956,0.9604840105885676,0.9499000858876564,0.9617017297630212
